Column,Metric,Score,df_type,synthesizer_type
dateOfBirth,KSComplement,0.9301045430157482,50000 row 10 missing,GC
generation,TVComplement,0.9965888464349056,50000 row 10 missing,GC
Language,TVComplement,0.9946191937367972,50000 row 10 missing,GC
rating,KSComplement,0.8016348985565928,50000 row 10 missing,GC
gender,TVComplement,0.9992760934889748,50000 row 10 missing,GC
pilStatus,TVComplement,0.999056071943634,50000 row 10 missing,GC
countryCode,TVComplement,0.9795829304574142,50000 row 20 missing,GC
dateOfBirth,KSComplement,0.9365337543011276,50000 row 20 missing,GC
generation,TVComplement,0.9947319957578696,50000 row 20 missing,GC
Language,TVComplement,0.990087308046279,50000 row 20 missing,GC
rating,KSComplement,0.7666663460808343,50000 row 20 missing,GC
gender,TVComplement,0.9941028196744864,50000 row 20 missing,GC
pilStatus,TVComplement,0.9974173030334824,50000 row 20 missing,GC
countryCode,TVComplement,0.7689,10000 row 0 missing,CTGAN
dateOfBirth,KSComplement,0.9223,10000 row 0 missing,CTGAN
generation,TVComplement,0.8096000000000001,10000 row 0 missing,CTGAN
Language,TVComplement,0.7747999999999999,10000 row 0 missing,CTGAN
rating,KSComplement,0.8769,10000 row 0 missing,CTGAN
gender,TVComplement,0.9067000000000001,10000 row 0 missing,CTGAN
pilStatus,TVComplement,0.937,10000 row 0 missing,CTGAN
countryCode,TVComplement,0.7777297068272777,10000 row 10 missing,CTGAN
dateOfBirth,KSComplement,0.9270539347302045,10000 row 10 missing,CTGAN
generation,TVComplement,0.8784406062730981,10000 row 10 missing,CTGAN
Language,TVComplement,0.8380160078131922,10000 row 10 missing,CTGAN
rating,KSComplement,0.8923446374823019,10000 row 10 missing,CTGAN
gender,TVComplement,0.8576866354528303,10000 row 10 missing,CTGAN
pilStatus,TVComplement,0.90687897359938,10000 row 10 missing,CTGAN
countryCode,TVComplement,0.767044345909283,10000 row 20 missing,CTGAN
dateOfBirth,KSComplement,0.9145805394211305,10000 row 20 missing,CTGAN
generation,TVComplement,0.9188173855923086,10000 row 20 missing,CTGAN
Language,TVComplement,0.7625693570259842,10000 row 20 missing,CTGAN
rating,KSComplement,0.9047354056110921,10000 row 20 missing,CTGAN
gender,TVComplement,0.9680173099813983,10000 row 20 missing,CTGAN
pilStatus,TVComplement,0.9619480291293387,10000 row 20 missing,CTGAN
countryCode,TVComplement,0.7721199999999999,25000 row 0 missing,CTGAN
dateOfBirth,KSComplement,0.8142,25000 row 0 missing,CTGAN
generation,TVComplement,0.93684,25000 row 0 missing,CTGAN
Language,TVComplement,0.7916799999999999,25000 row 0 missing,CTGAN
rating,KSComplement,0.87164,25000 row 0 missing,CTGAN
gender,TVComplement,0.8031200000000001,25000 row 0 missing,CTGAN
pilStatus,TVComplement,0.8147599999999999,25000 row 0 missing,CTGAN
countryCode,TVComplement,0.7351356515727316,25000 row 10 missing,CTGAN
dateOfBirth,KSComplement,0.8895205689631762,25000 row 10 missing,CTGAN
generation,TVComplement,0.7795257157510799,25000 row 10 missing,CTGAN
Language,TVComplement,0.777902478633987,25000 row 10 missing,CTGAN
rating,KSComplement,0.7923337351597648,25000 row 10 missing,CTGAN
gender,TVComplement,0.9913039903993857,25000 row 10 missing,CTGAN
pilStatus,TVComplement,0.7946875352288448,25000 row 10 missing,CTGAN
countryCode,TVComplement,0.7588855340504767,25000 row 20 missing,CTGAN
dateOfBirth,KSComplement,0.8803794148475659,25000 row 20 missing,CTGAN
generation,TVComplement,0.8767351876150061,25000 row 20 missing,CTGAN
Language,TVComplement,0.6846704631173554,25000 row 20 missing,CTGAN
rating,KSComplement,0.7980118084681613,25000 row 20 missing,CTGAN
gender,TVComplement,0.8964868770103924,25000 row 20 missing,CTGAN
pilStatus,TVComplement,0.9552813378727649,25000 row 20 missing,CTGAN
countryCode,TVComplement,0.726,50000 row 0 missing,CTGAN
dateOfBirth,KSComplement,0.82896,50000 row 0 missing,CTGAN
generation,TVComplement,0.80622,50000 row 0 missing,CTGAN
Language,TVComplement,0.83514,50000 row 0 missing,CTGAN
rating,KSComplement,0.8783,50000 row 0 missing,CTGAN
gender,TVComplement,0.8738999999999999,50000 row 0 missing,CTGAN
pilStatus,TVComplement,0.9172,50000 row 0 missing,CTGAN
countryCode,TVComplement,0.699720004295181,50000 row 10 missing,CTGAN
dateOfBirth,KSComplement,0.9190835928424763,50000 row 10 missing,CTGAN
generation,TVComplement,0.9116350443850098,50000 row 10 missing,CTGAN
Language,TVComplement,0.8166189300514013,50000 row 10 missing,CTGAN
rating,KSComplement,0.8234902768965082,50000 row 10 missing,CTGAN
gender,TVComplement,0.8951441479149721,50000 row 10 missing,CTGAN
pilStatus,TVComplement,0.7974811015606775,50000 row 10 missing,CTGAN
countryCode,TVComplement,0.6816600751577818,50000 row 20 missing,CTGAN
dateOfBirth,KSComplement,0.9155282401862409,50000 row 20 missing,CTGAN
generation,TVComplement,0.8836104588964511,50000 row 20 missing,CTGAN
Language,TVComplement,0.834421513414194,50000 row 20 missing,CTGAN
rating,KSComplement,0.8000791199868602,50000 row 20 missing,CTGAN
gender,TVComplement,0.904755030398553,50000 row 20 missing,CTGAN
pilStatus,TVComplement,0.9304299136155785,50000 row 20 missing,CTGAN
countryCode,TVComplement,0.7994000000000001,10000 row 0 missing,TVAE
dateOfBirth,KSComplement,0.9784,10000 row 0 missing,TVAE
generation,TVComplement,0.9197,10000 row 0 missing,TVAE
Language,TVComplement,0.8933,10000 row 0 missing,TVAE
rating,KSComplement,0.951,10000 row 0 missing,TVAE
gender,TVComplement,0.9338,10000 row 0 missing,TVAE
pilStatus,TVComplement,0.9237,10000 row 0 missing,TVAE
countryCode,TVComplement,0.7621720515932737,10000 row 10 missing,TVAE
dateOfBirth,KSComplement,0.9154123964033339,10000 row 10 missing,TVAE
generation,TVComplement,0.951828929182935,10000 row 10 missing,TVAE
Language,TVComplement,0.8469525255613846,10000 row 10 missing,TVAE
rating,KSComplement,0.9563904047140014,10000 row 10 missing,TVAE
gender,TVComplement,0.9382304376302543,10000 row 10 missing,TVAE
pilStatus,TVComplement,0.9270343956429654,10000 row 10 missing,TVAE
countryCode,TVComplement,0.5392633694125883,10000 row 20 missing,TVAE
dateOfBirth,KSComplement,0.9153886577354495,10000 row 20 missing,TVAE
generation,TVComplement,0.91118164928415,10000 row 20 missing,TVAE
Language,TVComplement,0.8671018159308039,10000 row 20 missing,TVAE
rating,KSComplement,0.9427647266059176,10000 row 20 missing,TVAE
gender,TVComplement,0.9271306146147196,10000 row 20 missing,TVAE
pilStatus,TVComplement,0.9254359203114997,10000 row 20 missing,TVAE
countryCode,TVComplement,0.82212,25000 row 0 missing,TVAE
dateOfBirth,KSComplement,0.7634799999999999,25000 row 0 missing,TVAE
generation,TVComplement,0.9758399999999999,25000 row 0 missing,TVAE
Language,TVComplement,0.88896,25000 row 0 missing,TVAE
rating,KSComplement,0.9432,25000 row 0 missing,TVAE
gender,TVComplement,0.93572,25000 row 0 missing,TVAE
pilStatus,TVComplement,0.9454,25000 row 0 missing,TVAE
countryCode,TVComplement,0.8434917843836758,25000 row 10 missing,TVAE
dateOfBirth,KSComplement,0.8811282153745399,25000 row 10 missing,TVAE
generation,TVComplement,0.9657468766823735,25000 row 10 missing,TVAE
Language,TVComplement,0.9319460223088323,25000 row 10 missing,TVAE
rating,KSComplement,0.9172481034674878,25000 row 10 missing,TVAE
gender,TVComplement,0.985075605142123,25000 row 10 missing,TVAE
pilStatus,TVComplement,0.9342718975913001,25000 row 10 missing,TVAE
countryCode,TVComplement,0.785314431054524,25000 row 20 missing,TVAE
dateOfBirth,KSComplement,0.9290810711808282,25000 row 20 missing,TVAE
generation,TVComplement,0.9714345112882258,25000 row 20 missing,TVAE
Language,TVComplement,0.9331165770980521,25000 row 20 missing,TVAE
rating,KSComplement,0.9636786876603177,25000 row 20 missing,TVAE
gender,TVComplement,0.9688756754843698,25000 row 20 missing,TVAE
pilStatus,TVComplement,0.9560978308227136,25000 row 20 missing,TVAE
countryCode,TVComplement,0.8522399999999999,50000 row 0 missing,TVAE
dateOfBirth,KSComplement,0.97692,50000 row 0 missing,TVAE
generation,TVComplement,0.9797,50000 row 0 missing,TVAE
Language,TVComplement,0.94048,50000 row 0 missing,TVAE
rating,KSComplement,0.83226,50000 row 0 missing,TVAE
gender,TVComplement,0.9727600000000001,50000 row 0 missing,TVAE
pilStatus,TVComplement,0.98458,50000 row 0 missing,TVAE
countryCode,TVComplement,0.8956107582407642,50000 row 10 missing,TVAE
dateOfBirth,KSComplement,0.9303554431625363,50000 row 10 missing,TVAE
generation,TVComplement,0.9764687789386063,50000 row 10 missing,TVAE
Language,TVComplement,0.7078403309129799,50000 row 10 missing,TVAE
rating,KSComplement,0.9191039703596974,50000 row 10 missing,TVAE
gender,TVComplement,0.9807303567581254,50000 row 10 missing,TVAE
pilStatus,TVComplement,0.9826439961631658,50000 row 10 missing,TVAE
countryCode,TVComplement,0.6854991262067335,50000 row 20 missing,TVAE
dateOfBirth,KSComplement,0.9444395742414466,50000 row 20 missing,TVAE
generation,TVComplement,0.9820911342639795,50000 row 20 missing,TVAE
Language,TVComplement,0.605374847330393,50000 row 20 missing,TVAE
rating,KSComplement,0.9448359188399145,50000 row 20 missing,TVAE
gender,TVComplement,0.9830013739261807,50000 row 20 missing,TVAE
pilStatus,TVComplement,0.9706090478517904,50000 row 20 missing,TVAE
