Column,Metric,Score,df_type,synthesizer_type
gender,TVComplement,0.9980717232110373,50000 row 10 missing,GC
pilStatus,TVComplement,0.9982009819888639,50000 row 10 missing,GC
countryCode,TVComplement,0.9866795883895564,50000 row 20 missing,GC
dateOfBirth,KSComplement,0.9377281651825009,50000 row 20 missing,GC
generation,TVComplement,0.9978948602262635,50000 row 20 missing,GC
Language,TVComplement,0.9932505712819918,50000 row 20 missing,GC
rating,KSComplement,0.7858324481790846,50000 row 20 missing,GC
gender,TVComplement,0.9990053652650331,50000 row 20 missing,GC
pilStatus,TVComplement,0.99885350918709,50000 row 20 missing,GC
countryCode,TVComplement,0.7399,10000 row 0 missing,CTGAN
dateOfBirth,KSComplement,0.9153,10000 row 0 missing,CTGAN
generation,TVComplement,0.8041999999999999,10000 row 0 missing,CTGAN
Language,TVComplement,0.8395,10000 row 0 missing,CTGAN
rating,KSComplement,0.9243,10000 row 0 missing,CTGAN
gender,TVComplement,0.8499,10000 row 0 missing,CTGAN
pilStatus,TVComplement,0.9727,10000 row 0 missing,CTGAN
countryCode,TVComplement,0.7675767665177866,10000 row 10 missing,CTGAN
dateOfBirth,KSComplement,0.8684458465157329,10000 row 10 missing,CTGAN
generation,TVComplement,0.9544913884338935,10000 row 10 missing,CTGAN
Language,TVComplement,0.6902458657751251,10000 row 10 missing,CTGAN
rating,KSComplement,0.8724242900202691,10000 row 10 missing,CTGAN
gender,TVComplement,0.9859028962012252,10000 row 10 missing,CTGAN
pilStatus,TVComplement,0.9632524251875453,10000 row 10 missing,CTGAN
countryCode,TVComplement,0.8109008581110791,10000 row 20 missing,CTGAN
dateOfBirth,KSComplement,0.9464773215821152,10000 row 20 missing,CTGAN
generation,TVComplement,0.8230843181133378,10000 row 20 missing,CTGAN
Language,TVComplement,0.9092362168233308,10000 row 20 missing,CTGAN
rating,KSComplement,0.9464503365889866,10000 row 20 missing,CTGAN
gender,TVComplement,0.9055263198991702,10000 row 20 missing,CTGAN
pilStatus,TVComplement,0.8548778762557783,10000 row 20 missing,CTGAN
countryCode,TVComplement,0.7860800000000001,25000 row 0 missing,CTGAN
dateOfBirth,KSComplement,0.91264,25000 row 0 missing,CTGAN
generation,TVComplement,0.93284,25000 row 0 missing,CTGAN
Language,TVComplement,0.91884,25000 row 0 missing,CTGAN
rating,KSComplement,0.90216,25000 row 0 missing,CTGAN
gender,TVComplement,0.97668,25000 row 0 missing,CTGAN
pilStatus,TVComplement,0.97544,25000 row 0 missing,CTGAN
countryCode,TVComplement,0.8024225734232383,25000 row 10 missing,CTGAN
dateOfBirth,KSComplement,0.8806442275812754,25000 row 10 missing,CTGAN
generation,TVComplement,0.8623089621736801,25000 row 10 missing,CTGAN
Language,TVComplement,0.8609545138511691,25000 row 10 missing,CTGAN
rating,KSComplement,0.9166582756736021,25000 row 10 missing,CTGAN
gender,TVComplement,0.9975655183164178,25000 row 10 missing,CTGAN
pilStatus,TVComplement,0.9541449575852121,25000 row 10 missing,CTGAN
countryCode,TVComplement,0.7918407729703865,25000 row 20 missing,CTGAN
dateOfBirth,KSComplement,0.915114531506152,25000 row 20 missing,CTGAN
generation,TVComplement,0.9162351713836148,25000 row 20 missing,CTGAN
Language,TVComplement,0.7960390347062452,25000 row 20 missing,CTGAN
rating,KSComplement,0.7810328457649371,25000 row 20 missing,CTGAN
gender,TVComplement,0.9571157857097258,25000 row 20 missing,CTGAN
pilStatus,TVComplement,0.88621537490811,25000 row 20 missing,CTGAN
countryCode,TVComplement,0.7850199999999998,50000 row 0 missing,CTGAN
dateOfBirth,KSComplement,0.84376,50000 row 0 missing,CTGAN
generation,TVComplement,0.92162,50000 row 0 missing,CTGAN
Language,TVComplement,0.87998,50000 row 0 missing,CTGAN
rating,KSComplement,0.89858,50000 row 0 missing,CTGAN
gender,TVComplement,0.88194,50000 row 0 missing,CTGAN
pilStatus,TVComplement,0.8284199999999999,50000 row 0 missing,CTGAN
countryCode,TVComplement,0.7855734858177076,50000 row 10 missing,CTGAN
dateOfBirth,KSComplement,0.9187153570814449,50000 row 10 missing,CTGAN
generation,TVComplement,0.9779781566145361,50000 row 10 missing,CTGAN
Language,TVComplement,0.7258375319054178,50000 row 10 missing,CTGAN
rating,KSComplement,0.8826788151954554,50000 row 10 missing,CTGAN
gender,TVComplement,0.9134515735902802,50000 row 10 missing,CTGAN
pilStatus,TVComplement,0.9430077758514895,50000 row 10 missing,CTGAN
countryCode,TVComplement,0.7548267685076132,50000 row 20 missing,CTGAN
dateOfBirth,KSComplement,0.9115489884525376,50000 row 20 missing,CTGAN
generation,TVComplement,0.9680351239301059,50000 row 20 missing,CTGAN
Language,TVComplement,0.6974066006396603,50000 row 20 missing,CTGAN
rating,KSComplement,0.916151812462216,50000 row 20 missing,CTGAN
gender,TVComplement,0.9510145871953866,50000 row 20 missing,CTGAN
pilStatus,TVComplement,0.9076697868471089,50000 row 20 missing,CTGAN
countryCode,TVComplement,0.8152000000000001,10000 row 0 missing,TVAE
dateOfBirth,KSComplement,0.8792,10000 row 0 missing,TVAE
generation,TVComplement,0.9753000000000001,10000 row 0 missing,TVAE
Language,TVComplement,0.8547,10000 row 0 missing,TVAE
rating,KSComplement,0.9684,10000 row 0 missing,TVAE
gender,TVComplement,0.9134,10000 row 0 missing,TVAE
pilStatus,TVComplement,0.9198999999999999,10000 row 0 missing,TVAE
countryCode,TVComplement,0.8302060759046425,10000 row 10 missing,TVAE
dateOfBirth,KSComplement,0.7573547594223927,10000 row 10 missing,TVAE
generation,TVComplement,0.9149527536627303,10000 row 10 missing,TVAE
Language,TVComplement,0.8457049673416988,10000 row 10 missing,TVAE
rating,KSComplement,0.9182129510238135,10000 row 10 missing,TVAE
gender,TVComplement,0.9435991629422187,10000 row 10 missing,TVAE
pilStatus,TVComplement,0.9330967775057732,10000 row 10 missing,TVAE
countryCode,TVComplement,0.8175197818054962,10000 row 20 missing,TVAE
dateOfBirth,KSComplement,0.9361080387866102,10000 row 20 missing,TVAE
generation,TVComplement,0.9548601200386915,10000 row 20 missing,TVAE
Language,TVComplement,0.8223740545169117,10000 row 20 missing,TVAE
rating,KSComplement,0.9564267577660435,10000 row 20 missing,TVAE
gender,TVComplement,0.934241601652316,10000 row 20 missing,TVAE
pilStatus,TVComplement,0.9143049410906553,10000 row 20 missing,TVAE
countryCode,TVComplement,0.8959199999999999,25000 row 0 missing,TVAE
dateOfBirth,KSComplement,0.89076,25000 row 0 missing,TVAE
generation,TVComplement,0.9726800000000001,25000 row 0 missing,TVAE
Language,TVComplement,0.89656,25000 row 0 missing,TVAE
rating,KSComplement,0.91688,25000 row 0 missing,TVAE
gender,TVComplement,0.97272,25000 row 0 missing,TVAE
pilStatus,TVComplement,0.96944,25000 row 0 missing,TVAE
countryCode,TVComplement,0.8581529906306697,25000 row 10 missing,TVAE
dateOfBirth,KSComplement,0.9642734035118039,25000 row 10 missing,TVAE
generation,TVComplement,0.978701212426947,25000 row 10 missing,TVAE
Language,TVComplement,0.9131231913498001,25000 row 10 missing,TVAE
rating,KSComplement,0.9576882952550075,25000 row 10 missing,TVAE
gender,TVComplement,0.9792457108851031,25000 row 10 missing,TVAE
pilStatus,TVComplement,0.916032299141582,25000 row 10 missing,TVAE
countryCode,TVComplement,0.890722063558074,25000 row 20 missing,TVAE
dateOfBirth,KSComplement,0.844303702314083,25000 row 20 missing,TVAE
generation,TVComplement,0.9825254262609824,25000 row 20 missing,TVAE
Language,TVComplement,0.8706566632036253,25000 row 20 missing,TVAE
rating,KSComplement,0.9545633152146877,25000 row 20 missing,TVAE
gender,TVComplement,0.9805518855054218,25000 row 20 missing,TVAE
pilStatus,TVComplement,0.9522381307289709,25000 row 20 missing,TVAE
countryCode,TVComplement,0.7713599999999999,50000 row 0 missing,TVAE
dateOfBirth,KSComplement,0.8879,50000 row 0 missing,TVAE
generation,TVComplement,0.9803999999999999,50000 row 0 missing,TVAE
Language,TVComplement,0.87552,50000 row 0 missing,TVAE
rating,KSComplement,0.95514,50000 row 0 missing,TVAE
gender,TVComplement,0.9795200000000001,50000 row 0 missing,TVAE
pilStatus,TVComplement,0.9817600000000001,50000 row 0 missing,TVAE
countryCode,TVComplement,0.8690023146126351,50000 row 10 missing,TVAE
dateOfBirth,KSComplement,0.6742023061640894,50000 row 10 missing,TVAE
generation,TVComplement,0.973995727479136,50000 row 10 missing,TVAE
Language,TVComplement,0.9013369845360825,50000 row 10 missing,TVAE
rating,KSComplement,0.9611805619477173,50000 row 10 missing,TVAE
gender,TVComplement,0.9944599134756995,50000 row 10 missing,TVAE
pilStatus,TVComplement,0.9924571693206922,50000 row 10 missing,TVAE
countryCode,TVComplement,0.5199489630879383,50000 row 20 missing,TVAE
dateOfBirth,KSComplement,0.9179403851560923,50000 row 20 missing,TVAE
generation,TVComplement,0.9782057373781456,50000 row 20 missing,TVAE
Language,TVComplement,0.40308538765624247,50000 row 20 missing,TVAE
rating,KSComplement,0.967483704038448,50000 row 20 missing,TVAE
gender,TVComplement,0.9884112653883738,50000 row 20 missing,TVAE
pilStatus,TVComplement,0.9982478229122576,50000 row 20 missing,TVAE
