Column,Metric,Score,df_type,synthesizer_type
rating,KSComplement,0.8498,10000 row 0 missing,CTGAN
gender,TVComplement,0.8306,10000 row 0 missing,CTGAN
pilStatus,TVComplement,0.8647,10000 row 0 missing,CTGAN
countryCode,TVComplement,0.6228131635961688,10000 row 10 missing,CTGAN
dateOfBirth,KSComplement,0.8506697159335581,10000 row 10 missing,CTGAN
generation,TVComplement,0.7555878148790972,10000 row 10 missing,CTGAN
Language,TVComplement,0.6862954096730604,10000 row 10 missing,CTGAN
rating,KSComplement,0.8661362533151424,10000 row 10 missing,CTGAN
gender,TVComplement,0.849745613620011,10000 row 10 missing,CTGAN
pilStatus,TVComplement,0.8489056209464927,10000 row 10 missing,CTGAN
countryCode,TVComplement,0.6348130237439085,10000 row 20 missing,CTGAN
dateOfBirth,KSComplement,0.8150927663696153,10000 row 20 missing,CTGAN
generation,TVComplement,0.7052519623397697,10000 row 20 missing,CTGAN
Language,TVComplement,0.637259890607593,10000 row 20 missing,CTGAN
rating,KSComplement,0.8316734597091917,10000 row 20 missing,CTGAN
gender,TVComplement,0.7837810338370054,10000 row 20 missing,CTGAN
pilStatus,TVComplement,0.731053366979678,10000 row 20 missing,CTGAN
countryCode,TVComplement,0.6309599999999999,25000 row 0 missing,CTGAN
dateOfBirth,KSComplement,0.8291999999999999,25000 row 0 missing,CTGAN
generation,TVComplement,0.78592,25000 row 0 missing,CTGAN
Language,TVComplement,0.6359199999999998,25000 row 0 missing,CTGAN
rating,KSComplement,0.8422799999999999,25000 row 0 missing,CTGAN
gender,TVComplement,0.85416,25000 row 0 missing,CTGAN
pilStatus,TVComplement,0.82044,25000 row 0 missing,CTGAN
countryCode,TVComplement,0.6110547997066014,25000 row 10 missing,CTGAN
dateOfBirth,KSComplement,0.8125534230193879,25000 row 10 missing,CTGAN
generation,TVComplement,0.7589489865510561,25000 row 10 missing,CTGAN
Language,TVComplement,0.653328275020453,25000 row 10 missing,CTGAN
rating,KSComplement,0.7419687091781146,25000 row 10 missing,CTGAN
gender,TVComplement,0.7581088674650763,25000 row 10 missing,CTGAN
pilStatus,TVComplement,0.7952028892997571,25000 row 10 missing,CTGAN
countryCode,TVComplement,0.591433047655411,25000 row 20 missing,CTGAN
dateOfBirth,KSComplement,0.8124382594750491,25000 row 20 missing,CTGAN
generation,TVComplement,0.7531017611031809,25000 row 20 missing,CTGAN
Language,TVComplement,0.6093800594629267,25000 row 20 missing,CTGAN
rating,KSComplement,0.813024474185091,25000 row 20 missing,CTGAN
gender,TVComplement,0.8233385856223054,25000 row 20 missing,CTGAN
pilStatus,TVComplement,0.7243226050730929,25000 row 20 missing,CTGAN
countryCode,TVComplement,0.6077999999999999,50000 row 0 missing,CTGAN
dateOfBirth,KSComplement,0.8547,50000 row 0 missing,CTGAN
generation,TVComplement,0.7537400000000001,50000 row 0 missing,CTGAN
Language,TVComplement,0.68164,50000 row 0 missing,CTGAN
rating,KSComplement,0.81292,50000 row 0 missing,CTGAN
gender,TVComplement,0.81668,50000 row 0 missing,CTGAN
pilStatus,TVComplement,0.84428,50000 row 0 missing,CTGAN
countryCode,TVComplement,0.6150383692461238,50000 row 10 missing,CTGAN
dateOfBirth,KSComplement,0.8203454897226956,50000 row 10 missing,CTGAN
generation,TVComplement,0.7348318310460306,50000 row 10 missing,CTGAN
Language,TVComplement,0.6330990964418551,50000 row 10 missing,CTGAN
rating,KSComplement,0.8162148048513195,50000 row 10 missing,CTGAN
gender,TVComplement,0.8075622771628739,50000 row 10 missing,CTGAN
pilStatus,TVComplement,0.819017157446327,50000 row 10 missing,CTGAN
countryCode,TVComplement,0.6126768769303714,50000 row 20 missing,CTGAN
dateOfBirth,KSComplement,0.8419932332933941,50000 row 20 missing,CTGAN
generation,TVComplement,0.7373500439985645,50000 row 20 missing,CTGAN
Language,TVComplement,0.640116266616978,50000 row 20 missing,CTGAN
rating,KSComplement,0.826970427333544,50000 row 20 missing,CTGAN
gender,TVComplement,0.8270108198704578,50000 row 20 missing,CTGAN
pilStatus,TVComplement,0.797447384956826,50000 row 20 missing,CTGAN
countryCode,TVComplement,0.8828,10000 row 0 missing,TVAE
dateOfBirth,KSComplement,0.9375,10000 row 0 missing,TVAE
generation,TVComplement,0.9713999999999999,10000 row 0 missing,TVAE
Language,TVComplement,0.9203,10000 row 0 missing,TVAE
rating,KSComplement,0.9742999999999999,10000 row 0 missing,TVAE
gender,TVComplement,0.9650000000000001,10000 row 0 missing,TVAE
pilStatus,TVComplement,0.9669,10000 row 0 missing,TVAE
countryCode,TVComplement,0.8333833181907768,10000 row 10 missing,TVAE
dateOfBirth,KSComplement,0.9232942932376027,10000 row 10 missing,TVAE
generation,TVComplement,0.9391060179692974,10000 row 10 missing,TVAE
Language,TVComplement,0.9285345239288634,10000 row 10 missing,TVAE
rating,KSComplement,0.9529176106849729,10000 row 10 missing,TVAE
gender,TVComplement,0.9540073761250909,10000 row 10 missing,TVAE
pilStatus,TVComplement,0.9578778639573455,10000 row 10 missing,TVAE
countryCode,TVComplement,0.8340708847862757,10000 row 20 missing,TVAE
dateOfBirth,KSComplement,0.9370352694742633,10000 row 20 missing,TVAE
generation,TVComplement,0.9699133181374537,10000 row 20 missing,TVAE
Language,TVComplement,0.911327254203511,10000 row 20 missing,TVAE
rating,KSComplement,0.9618842421646444,10000 row 20 missing,TVAE
gender,TVComplement,0.9525547030981156,10000 row 20 missing,TVAE
pilStatus,TVComplement,0.9535777180345227,10000 row 20 missing,TVAE
countryCode,TVComplement,0.75652,25000 row 0 missing,TVAE
dateOfBirth,KSComplement,0.95224,25000 row 0 missing,TVAE
generation,TVComplement,0.96192,25000 row 0 missing,TVAE
Language,TVComplement,0.9018,25000 row 0 missing,TVAE
rating,KSComplement,0.97792,25000 row 0 missing,TVAE
gender,TVComplement,0.97268,25000 row 0 missing,TVAE
pilStatus,TVComplement,0.97736,25000 row 0 missing,TVAE
countryCode,TVComplement,0.8836859641453754,25000 row 10 missing,TVAE
dateOfBirth,KSComplement,0.9490392197212774,25000 row 10 missing,TVAE
generation,TVComplement,0.9592137248200875,25000 row 10 missing,TVAE
Language,TVComplement,0.9287131230340858,25000 row 10 missing,TVAE
rating,KSComplement,0.9727193297585012,25000 row 10 missing,TVAE
gender,TVComplement,0.9668684823757587,25000 row 10 missing,TVAE
pilStatus,TVComplement,0.9656822046174467,25000 row 10 missing,TVAE
countryCode,TVComplement,0.8527848925866433,25000 row 20 missing,TVAE
dateOfBirth,KSComplement,0.967652311065127,25000 row 20 missing,TVAE
generation,TVComplement,0.9838507216693001,25000 row 20 missing,TVAE
Language,TVComplement,0.9221269743215686,25000 row 20 missing,TVAE
rating,KSComplement,0.9566549618741946,25000 row 20 missing,TVAE
gender,TVComplement,0.9737503437535859,25000 row 20 missing,TVAE
pilStatus,TVComplement,0.9692995544136316,25000 row 20 missing,TVAE
countryCode,TVComplement,0.8433999999999999,50000 row 0 missing,TVAE
dateOfBirth,KSComplement,0.95982,50000 row 0 missing,TVAE
generation,TVComplement,0.98442,50000 row 0 missing,TVAE
Language,TVComplement,0.90994,50000 row 0 missing,TVAE
rating,KSComplement,0.93336,50000 row 0 missing,TVAE
gender,TVComplement,0.97254,50000 row 0 missing,TVAE
pilStatus,TVComplement,0.9690799999999999,50000 row 0 missing,TVAE
countryCode,TVComplement,0.9223766721674439,50000 row 10 missing,TVAE
dateOfBirth,KSComplement,0.966735655735289,50000 row 10 missing,TVAE
generation,TVComplement,0.9816431074907024,50000 row 10 missing,TVAE
Language,TVComplement,0.945964283689098,50000 row 10 missing,TVAE
rating,KSComplement,0.9092341455707084,50000 row 10 missing,TVAE
gender,TVComplement,0.9899964952527129,50000 row 10 missing,TVAE
pilStatus,TVComplement,0.9823125191666527,50000 row 10 missing,TVAE
countryCode,TVComplement,0.9148178316197819,50000 row 20 missing,TVAE
dateOfBirth,KSComplement,0.940596938083189,50000 row 20 missing,TVAE
generation,TVComplement,0.9605064026594531,50000 row 20 missing,TVAE
Language,TVComplement,0.9437039640152096,50000 row 20 missing,TVAE
rating,KSComplement,0.9467814090766064,50000 row 20 missing,TVAE
gender,TVComplement,0.9763873470333427,50000 row 20 missing,TVAE
pilStatus,TVComplement,0.9750356094236997,50000 row 20 missing,TVAE
